KpId;Name;Original Name;Rating;Description;Year;Type;Length;Release Date;Persons;Genres
251733;Аватар;Avatar;7,975;Бывший морпех Джейк Салли прикован к инвалидному креслу. Несмотря на немощное тело, Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на планете Пандора, где корпорации добывают редкий минерал, имеющий огромное значение для выхода Земли из энергетического кризиса.;2009;movie;162;2009-12-10;актер-Сэм Уортингтон-Sam Worthington-1976.08.02,актер-Зои Салдана-Zoe Saldana-1978.06.19,актер-Сигурни Уивер-Sigourney Weaver-1949.10.08,актер-Стивен Лэнг-Stephen Lang-1952.07.11,режиссер-Джеймс Кэмерон-James Cameron-1954.08.16;фантастика,боевик,драма,приключение
535341;1+1;Intouchables;8,824;Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений.;2011;movie;112;2011-09-11;актер-Франсуа Клюзе-François Cluzet-1955.09.21,актер-Омар Си-Omar Sy-1978.01.20,режиссер-Оливье Накаш-Olivier Nakache-1973.04.15,режиссер-Эрик Толедано-Éric Toledano-1971.07.03;драма,комедия
